############################################################
# SHIM CENSUS: 245 inline shims in stdafx_linux.h
#   adapt=2, noop-const=114, noop-risky=69, real=60
# NOTE: classification is heuristic triage, not an audited verdict.
# 'noop-risky' entries need human review (do they break callers?).
############################################################
shim_name	classification	caller_count	callers	signature
DefWindowProc	noop-const	4	source/globaldata.h,source/script2.cpp,source/script_gui.cpp,source/window.cpp	{
SetForegroundWindow	noop-const	3	source/script2.cpp,source/script_menu.cpp,source/window.cpp	{
PostThreadMessage	noop-risky	2	source/hook.cpp,source/script2.cpp	{
GetCursorPos	noop-const	5	source/application.cpp,source/keyboard_mouse.cpp,source/script2.cpp,source/script_gui.cpp,source/script_menu.cpp	{
GetMonitorInfo	noop-const	2	source/lib/env.cpp,source/script2.cpp	{
MonitorFromPoint	noop-const	1	source/script2.cpp	{
WindowFromPoint	noop-const	2	source/keyboard_mouse.cpp,source/script2.cpp	{
EnumChildWindows	noop-const	4	source/lib/win.cpp,source/script2.cpp,source/script_gui.cpp,source/window.cpp	{
IsWindowEnabled	noop-const	4	source/application.cpp,source/lib/win.cpp,source/script2.cpp,source/script_gui.cpp	{
GetCurrentDirectory	real	2	source/lib/vars.cpp,source/script2.cpp	{
ImageList_Destroy	noop-risky	1	source/script2.cpp	{
ImageList_GetIconSize	noop-const	2	source/lib/Gui.ListView.cpp,source/script2.cpp	{
ImageList_AddMasked	noop-const	1	source/script2.cpp	{
ImageList_AddIcon	noop-const	1	source/script2.cpp	{
joyGetDevCaps	noop-const	1	source/script2.cpp	{
joyGetPosEx	noop-const	2	source/application.cpp,source/script2.cpp	{
IsCharAlphaNumeric	noop-const	3	source/hook.cpp,source/lib/string.cpp,source/script2.cpp	{
IsCharLower	noop-const	2	source/hook.cpp,source/script2.cpp	{
CoCreateInstance	noop-risky	4	source/lib/sound.cpp,source/script2.cpp,source/script_autoit.cpp,source/script_com.cpp	{
SHCreateItemFromParsingName	noop-risky	1	source/script2.cpp	{
RegQueryInfoKey	noop-risky	1	source/script.cpp	{
RegEnumValue	noop-const	2	source/script.cpp,source/script_registry.cpp	{
RegEnumKeyEx	noop-const	3	source/script.cpp,source/script.h,source/script_registry.cpp	{
_itot	real	11	source/TextIO.cpp,source/error.cpp,source/hotkey.cpp,source/keyboard_mouse.cpp,source/lib/DllCall.cpp,source/lib/vars.cpp,source/lib/win.cpp,source/linux/core/core_builtin_stubs.cpp,source/linux/core/core_mdfunc_linux.cpp,source/util.h,source/window.cpp	{ std::wstring s = std::to_wstring(value); wcscpy(buf, s.c_str()); return buf; }
_i64tot	real	1	source/util.h	{ std::wstring s = std::to_wstring((long long)value); wcscpy(buf, s.c_str()); return buf; }
_ultot	real	3	source/error.cpp,source/lib/DllCall.cpp,source/util.h	{ std::wstring s = std::to_wstring(value); wcscpy(buf, s.c_str()); return buf; }
_ui64tot	real	1	source/util.h	{ std::wstring s = std::to_wstring(value); wcscpy(buf, s.c_str()); return buf; }
_itot	real	11	source/TextIO.cpp,source/error.cpp,source/hotkey.cpp,source/keyboard_mouse.cpp,source/lib/DllCall.cpp,source/lib/vars.cpp,source/lib/win.cpp,source/linux/core/core_builtin_stubs.cpp,source/linux/core/core_mdfunc_linux.cpp,source/util.h,source/window.cpp	{ std::string s = std::to_string(value); strcpy(buf, s.c_str()); return buf; }
_i64tot	real	1	source/util.h	{ std::string s = std::to_string((long long)value); strcpy(buf, s.c_str()); return buf; }
_ultot	real	3	source/error.cpp,source/lib/DllCall.cpp,source/util.h	{ std::string s = std::to_string(value); strcpy(buf, s.c_str()); return buf; }
_ui64tot	real	1	source/util.h	{ std::string s = std::to_string(value); strcpy(buf, s.c_str()); return buf; }
